Question,A,B,C,D,Answer,Explanation,Topic
What are 3 chalazal cells called?,Synergids,Antipodal cells,Polar nuclei,Chalaza,B,The 3 chalazal cells are called antipodal cells. These are vegetative cells that provide nourishment to the embryo sac. After fertilization these cells degenerate. Internally they are connected to the central cell by plasmodesmata.,Biology
Which is the largest cell of the embryo sac?,Chlazal cells,Micropylar cells,Synergids,Central cell,D,The central cell is the largest cell. In the middle it contains 2 polar nuclei which have large nucleoli. It is a highly vacuolated cytoplasm which is rich in reserve food and golgi bodies.,Biology
Transfer of pollen grains to the stigma of a pistil is termed _______,fertilization,pollination,maturation,transfer,B,It is the transfer of one pollen grain to the stigma of the flower. This process leads to the process of fertilization. It is through this process that the seeds are produced.,Biology
_______ flowers are invariably autogamous as there is no chance of cross pollen landing on the stigma,Cleistogamous,Chasmogamous,Anephalous,Autogamous,A,"Cleistogamous are a type of automatic self-pollinating plants that can conduct pollination through non opening self-pollinating flowers, especially in peanuts and peas.",Biology
_______ is the transfer of pollen grains from anther to the stigma of another flower of the same plant,Geitonogamy,Cleistogamy,Autogamy,Xenogamy,D,Xenogamy is defined as the transfer of pollen grains from the anther of one plant to the stigma of a different plant. This type of pollination helps in breeding genetically different types of pollens.,Biology
_______ is the transfer of pollen grains from the anther to the stigma of another flower of the same plant,Cleistogamy,Autogamy,Geitonogamy,Xenogamy,C,Geitonogamy is a kind of self-pollination wherein the fertilization of a flower is done by a pollen from another flower on the same or genetically identical plant.,Biology
________ flowers produce assured seed set even in the absence of pollinator,Cleistogamous,Autogamous,Chasmogamous,Anemophelous,A,Cleistogamous plants are self- pollinating flowers that do not open and fertilize within the bud. Some examples of flowers that propagate cleistogamy-peanuts and peas.,Biology
"In _____ type, pollination is achieved within the same flower",Perrenial,Autogamy,Cleistogamy,Offset,B,"Autogamy can be defined as the type of pollination where the flowers self- pollinate. The difference between cleistogamy and autogamy is that in cleistogamy, pollination occurs within the buds whereas in autogamy, pollination occurs in open flowers.",Biology
"In normal flower which opens and exposes the ______ and the stigma, complete autogamy is rare",Stigma,Nucellus,Anther,Style,C,"Anthers is abroad knob like fertile part of a stamen that produces and stores pollen grains. On dehiscence, that is the cracking open of anther sacs, the pollen grains fall off.",Biology
Which of the following do not produce 2 types of flower?,Viola,Oxalis,Hibiscus,Commelina,C,"Some plants such as Viola (common pansy), Oxalis, and Commelina produce two types of flowers–chasmogamous flowers which are similar to flowers of other species with exposed anthers and stigma, and cleistogamous flowers which do not open at all.",Biology
Most common abiotic pollinator is ___,water,wind,soil,temperature,B,Plants pollinated by wind produce a large (maybe billions) amount of pollen grains into the air so that they hit the target on other plants. Many crop plants like wheat are wind pollinated.,Biology
Pollination by ____ is rare,wind,animals,soil,water,D,"In plants pollinated by the wind, flowers are small and inconspicuous. The pollen grains are made light weight and unwettable due to the presence of a mucilage covering. The water current acts as a pollen vector.",Biology
Pollination by wind is called ____,Autogamy,Xenogamy,Geitonogamy,Anemophily,D,"Anemophily is pollination by winds. It is a mode of cross pollination or transfer of pollen grains from a mature anther to the stigma of a pistil which is accomplished through the agency of wind, e.g., Coconut Palm, Date Palm, Maize, many grasses, Cannabis.",Biology
Pollination by water is called ______,Cleistogamous,Xenogamy,Hydrophily,Anemophily,C,Hydrophily is pollination by water. It is the mode of pollination or transfer of pollen grains from the mature anther of a flower to the stigma of another flower which is accomplished through the agency of water.,Biology
Zoster is an example of ______,pollination by animals,pollination by wind,pollination by water,pollination by birds,C,"Zoster is an example of pollination by water. In Zostera, the marine angiosperm (Sea Grass), the pollen grains are long ribbon-like (upto 2500 μm) and without exine.",Biology
"Which of the following is a dioecious, submerged, fresh water plant?",Vallisneria,Cannabis,Neelakurunji,Zoster,A,"Vallisneria is a dioecious, submerged, fresh water aquatic plant. The male flowers cut off and come to the surface of water. Mature female flowers rise to the surface by elongation of their stalks.",Biology
In ______ pollination takes place on the surface of the water,Hypohydrophily,Hydrophylly,Epihydrophily,Ceratophyllum,C,"Hydrophylly is of two types— hypohydrophily and epihydrophily. Hypohydrophily occurs below the surface of water, e.g., Zostera, Ceratophyllum. Epihydrophily takes place over the surface of water, e.g., Vallisneria.",Biology
______ underwater plant has male and female parts in the same flower,Zostera,Ceratophyllum,Vallisneria,Maize,B,"Ceratophyllum is a fresh water plant (submerged) which bears male and female, both, flowers on the same plant. A male flower has several (30-45) stamens. The mature anthers breaks, and rises upward and dehisce occurs on the surface. The pollen grains are round, with no exine. The pollens come in contact with long and sticky stigmas for pollination.",Biology
Pollination through animals is ________,zoophily,pollination,hydrophily,epihydrophily,B,"Zoophily is defined as pollination via animals. Insects are the most important animal pollinators. Birds, snails, bats, etc. also play an important role. Some lizards, lemurs, etc. also have proven to be important for pollination.",Biology
_______ is one of the most common families that are pollinated by animals,Fabaceae,Euphorbiaceae,Asteraceae,Begoniaceae,C,Zoophilous flowers are often adapted to be pollinated by particular type of animals. Bees and butterflies pollinate the maximum number of flowering plants. The two common families pollinated by them are Asteraceae and Lamiaceae.,Biology
Pollination by insects is called _____,Zoophily,Anemophily,Epihydrophily,Entomophily,D,"Entomophily is a common type of zoophily wherein the pollen grains of mature anthers of a flower are transferred to a mature stigma of another flower through insects like beetles, moths, butterflies, wasps, bees, etc.",Biology
Which of the following has attractive bracts?,Hibiscus,Bougainvillea,Mimosa,Rafflesia,B,"Other parts of the flower become showy when petals aren’t attractive. Bougainvillea is known for its showy bracts, leaves in Euphoria pulcherrima, stamens in mimosa, spathes in aroids, etc.",Biology
